id,sektor,subsektor,kategori,nama_provinsi,lokasi_provinsi,lokasi_kabkot,nama_kegiatan,tahun_pelaporan,Total Penurunan emisi
7302,Energi,Energi,Pembangunan Energi Terbarukan - OFF GRID,SULAWESI SELATAN,SULAWESI SELATAN,LUWU,Pengembangan PLTMH,2010,272.2608
7315,Energi,Energi,Subtitusi Bahan Bakar Fosil,SULAWESI SELATAN,SULAWESI SELATAN,GOWA,Pengembangan Biogas,2010,33.4909275
7316,Energi,Energi,Subtitusi Bahan Bakar Fosil,SULAWESI SELATAN,SULAWESI SELATAN,BANTAENG,Pengembangan Biogas,2010,6.6981855
7317,Energi,Energi,Subtitusi Bahan Bakar Fosil,SULAWESI SELATAN,SULAWESI SELATAN,MAROS,Pengembangan Biogas,2010,6.6981855
7318,Energi,Energi,Subtitusi Bahan Bakar Fosil,SULAWESI SELATAN,SULAWESI SELATAN,BARRU,Pengembangan Biogas,2010,6.6981855
7319,Energi,Energi,Subtitusi Bahan Bakar Fosil,SULAWESI SELATAN,SULAWESI SELATAN,PINRANG,Pengembangan Biogas,2010,6.6981855
7321,Energi,Energi,Efisiensi Energi  Penggunaan lampu hemat energi (LED/CFL),SULAWESI SELATAN,SULAWESI SELATAN,MAKASSAR,Penggantian lampu jalan LED Kota Makassar,2010,23.31912
8930,Pengelolaan Limbah,Air Limbah,Pendukung,SULAWESI SELATAN,SULAWESI SELATAN,,Fasilitasi pembinaan teknis pengelolaan air limbah,2010,0
11163,Lahan,Kehutanan dan Lahan Gambut,Pendukung,SULAWESI SELATAN,SULAWESI SELATAN,TORAJA UTARA,Pembuatan bibit,2010,0
11182,Lahan,Kehutanan dan Lahan Gambut,Peningkatan Cadangan Karbon,SULAWESI SELATAN,SULAWESI SELATAN,TORAJA UTARA,Penghijauan hutan rakyat,2010,428.2666667
11203,Lahan,Kehutanan dan Lahan Gambut,Pendukung,SULAWESI SELATAN,SULAWESI SELATAN,KEPULAUAN SELAYAR,Pembuatan bibit Penghijauan,2010,0
11205,Lahan,Kehutanan dan Lahan Gambut,Pendukung,SULAWESI SELATAN,SULAWESI SELATAN,BULUKUMBA,Pengadaan bibit,2010,0
11349,Energi,Transportasi,Smart Driving (eco driving),SULAWESI SELATAN,SULAWESI SELATAN,MAKASSAR,"Pekan keselamatan transportasi jalan, lomba/ pemilihan tingkat nasional (Pemilihan awak kendaraan teladan 2010)",2010,31.61
