id,sektor,subsektor,kategori,nama_provinsi,lokasi_provinsi,lokasi_kabkot,nama_kegiatan,tahun_pelaporan,Total Penurunan emisi
1259,Lahan,Kehutanan dan Lahan Gambut,Peningkatan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,MUSI RAWAS,Pembuatan Bibit/Benih Tanaman Kehutanan KBD dan Penanaman Hutan Partisifatif,2010,553.3733333
1260,Lahan,Kehutanan dan Lahan Gambut,Peningkatan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,MUSI RAWAS,Pembangunan Areal Model Tanaman Kehutanan Pola agroforestry,2010,1004.456444
1261,Lahan,Kehutanan dan Lahan Gambut,Peningkatan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,,Pengadaan Bibit Pohon Penghijauan Untuk Peringgatan bulan Bhakti Menanam,2010,642.4
1262,Lahan,Kehutanan dan Lahan Gambut,Peningkatan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,,Peringatan Bulan Bhakti Menanam oleh Penyuluh kehutanan lapangan,2010,55308
1263,Lahan,Kehutanan dan Lahan Gambut,Peningkatan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,LAHAT,Pengembangan Aneka Usaha Kehutanan,2010,576.125
1264,Lahan,Kehutanan dan Lahan Gambut,Peningkatan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,PAGAR ALAM,Pengembangan Hasil Hutan Non Kayu,2010,535.3333333
1265,Lahan,Kehutanan dan Lahan Gambut,Pencegahan Penurunan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,OGAN KOMERING ILIR,Pencegahan dan Pengendalian Kebakaran Hutan dan Lahan,2010,0
1266,Lahan,Kehutanan dan Lahan Gambut,Pencegahan Penurunan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,BANYU ASIN,Pencegahan dan Pengendalian Kebakaran Hutan dan Lahan,2010,0
1267,Lahan,Kehutanan dan Lahan Gambut,Pencegahan Penurunan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,OGAN ILIR,Pencegahan dan Pengendalian Kebakaran Hutan dan Lahan,2010,0
1268,Lahan,Kehutanan dan Lahan Gambut,Pencegahan Penurunan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,OGAN KOMERING ULU,Pencegahan dan Pengendalian Kebakaran Hutan dan Lahan,2010,0
1269,Lahan,Kehutanan dan Lahan Gambut,Pencegahan Penurunan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,LAHAT,Pencegahan dan Pengendalian Kebakaran Hutan dan Lahan,2010,0
1270,Lahan,Kehutanan dan Lahan Gambut,Pencegahan Penurunan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,MUSI BANYUASIN,Pengamanan Hutan,2010,0
1271,Lahan,Kehutanan dan Lahan Gambut,Pencegahan Penurunan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,OGAN KOMERING ULU,Pengamanan Hutan,2010,0
1272,Lahan,Kehutanan dan Lahan Gambut,Pencegahan Penurunan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,LAHAT,Pengamanan Hutan,2010,0
1273,Lahan,Kehutanan dan Lahan Gambut,Pencegahan Penurunan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,OGAN KOMERING ILIR,Pengamanan Hutan,2010,0
1274,Lahan,Kehutanan dan Lahan Gambut,Pencegahan Penurunan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,MUSI RAWAS,Pengamanan Hutan,2010,0
1275,Lahan,Kehutanan dan Lahan Gambut,Pencegahan Penurunan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,EMPAT LAWANG,Pengamanan Hutan,2010,0
1276,Lahan,Kehutanan dan Lahan Gambut,Pencegahan Penurunan Cadangan Karbon,SUMATERA SELATAN,SUMATERA SELATAN,BANYU ASIN,Pengendalian Kebakaran Hutan (APBN),2010,0
